workflow_id,status,anomaly_score
3602,ALERT,134.0343
3486,ALERT,51.3261
3714,ALERT,3.5496
3850,ALERT,2.8915
3592,ALERT,97.6647
3612,ALERT,77.4698
3711,ALERT,88.2263
3662,ALERT,36.0388
3510,ALERT,0.638
3787,ALERT,155.7488
3801,ALERT,246.2639
3773,ALERT,5.4578
3762,ALERT,45.8005
3603,ALERT,119.8947
3518,ALERT,159.7782
3774,ALERT,106.6479
3996,ALERT,88.3978
3910,ALERT,7.6363
3429,ALERT,116.2724
3785,ALERT,100.0413
3637,ALERT,79.1786
3600,ALERT,5.7164
3827,ALERT,4.165
3577,ALERT,54.9523
3688,ALERT,49.4775
3845,ALERT,120.1818
3792,ALERT,31.5937
3821,ALERT,3.1087
3719,ALERT,73.7486
3793,ALERT,20.2656
3611,ALERT,73.2524
3680,ALERT,69.4255
3453,ALERT,3.3737
3802,ALERT,174.2525
3487,ALERT,148.2564
3501,ALERT,239.1617
3674,ALERT,76.4518
3851,ALERT,36.5902
3885,ALERT,34.0922
3464,ALERT,97.2681
3982,ALERT,53.9456
3489,ALERT,98.9351
3705,ALERT,176.9839
3771,ALERT,15.0119
3525,ALERT,30.7176
3609,ALERT,147.1199
3861,ALERT,137.5136
3679,ALERT,108.9197
3871,ALERT,201.2662
3571,ALERT,123.5807
3697,ALERT,65.1085
3887,ALERT,119.9702
3914,ALERT,53.8856
3531,ALERT,30.2653
3866,ALERT,23.7308
3498,ALERT,67.4612
3784,ALERT,9.7155
3458,ALERT,34.2139
3701,ALERT,24.4252
3491,ALERT,86.9363
3527,ALERT,32.8516
3473,ALERT,17.5953
3920,ALERT,105.1884
3542,ALERT,23.2993
3462,ALERT,143.3968
3508,ALERT,30.7771
3870,ALERT,44.2435
3513,ALERT,70.4401
3799,ALERT,49.9139
3944,ALERT,1.7211
3805,ALERT,68.9019
3514,ALERT,0.7927
3528,ALERT,49.5465
3758,ALERT,69.4419
2021,ALERT,0.4624
3730,ALERT,88.2919
3820,ALERT,183.4972
3434,ALERT,64.7381
3436,ALERT,122.6191
3780,ALERT,99.6191
3840,ALERT,130.3231
3554,ALERT,1.9185
3754,ALERT,7.1347
3903,ALERT,135.6831
3977,ALERT,152.1382
3725,ALERT,15.3935
3692,ALERT,67.8038
3733,ALERT,48.6447
3589,ALERT,174.8341
3454,ALERT,200.9165
3811,ALERT,108.7781
3573,ALERT,174.9347
3449,ALERT,141.6373
3989,ALERT,113.3692
2064,ALERT,0.4515
3550,ALERT,55.3201
3447,ALERT,6.7033
3698,ALERT,61.7304
3769,ALERT,92.7971
3451,ALERT,53.3884
3585,ALERT,87.199
3909,ALERT,138.377
3772,ALERT,112.2052
3630,ALERT,11.1664
3740,ALERT,68.4795
3844,ALERT,109.611
3523,ALERT,56.3053
3891,ALERT,166.1952
3483,ALERT,60.077
3745,ALERT,109.0567
3642,ALERT,5.295
3843,ALERT,100.6113
3715,ALERT,14.3166
3404,ALERT,41.7354
3917,ALERT,70.6395
3786,ALERT,192.1488
3632,ALERT,91.6209
3691,ALERT,2.9312
3722,ALERT,65.8793
3930,ALERT,234.5405
3838,ALERT,62.4251
3900,ALERT,37.5768
3604,ALERT,49.4675
3631,ALERT,46.0642
3432,ALERT,164.782
3252,ALERT,0.4583
3747,ALERT,81.1697
3935,ALERT,37.587
3463,ALERT,42.1068
3963,ALERT,2.4924
3723,ALERT,23.1111
3594,ALERT,2.1239
3647,ALERT,86.4599
3586,ALERT,51.2945
3873,ALERT,122.7879
3668,ALERT,75.5244
3500,ALERT,255.3205
3742,ALERT,57.547
3484,ALERT,111.0811
3857,ALERT,33.4612
3636,ALERT,18.9967
3665,ALERT,1.7874
3536,ALERT,127.9214
3671,ALERT,59.3313
3864,ALERT,148.8389
3936,ALERT,143.2296
3534,ALERT,89.5208
3417,ALERT,46.6618
3706,ALERT,87.2106
3670,ALERT,36.5646
3614,ALERT,131.6397
3664,ALERT,15.2823
3694,ALERT,53.2216
3822,ALERT,106.484
3627,ALERT,40.7919
3610,ALERT,114.0055
3824,ALERT,187.8175
3553,ALERT,5.8187
3791,ALERT,101.0843
3578,ALERT,13.902
3846,ALERT,95.3117
3663,ALERT,36.9556
3837,ALERT,109.3278
3921,ALERT,214.2952
3964,ALERT,14.3838
3748,ALERT,7.8272
3918,ALERT,107.9666
3971,ALERT,85.5823
3959,ALERT,101.1457
3807,ALERT,191.0996
3576,ALERT,164.7681
3645,ALERT,23.1424
3643,ALERT,101.8348
3656,ALERT,215.5042
3810,ALERT,139.6566
3587,ALERT,49.644
3834,ALERT,10.706
3416,ALERT,167.1411
3655,ALERT,20.4627
3768,ALERT,136.1342
3778,ALERT,10.4399
3446,ALERT,24.4906
3777,ALERT,194.3334
3681,ALERT,140.5367
3949,ALERT,186.2596
3817,ALERT,171.3516
3770,ALERT,120.1238
3408,ALERT,71.0969
3470,ALERT,98.6427
3954,ALERT,175.0697
3816,ALERT,46.5985
3521,ALERT,124.7137
3942,ALERT,93.6712
3818,ALERT,6.0288
3441,ALERT,93.8107
3728,ALERT,60.484
3800,ALERT,6.0576
3598,ALERT,68.5972
3572,ALERT,21.6709
3540,ALERT,106.7056
3579,ALERT,77.8765
3731,ALERT,85.7111
3858,ALERT,10.984
3633,ALERT,81.4098
3973,ALERT,0.8648
3842,ALERT,70.2181
3532,ALERT,72.8024
3755,ALERT,4.721
3507,ALERT,121.9182
3472,ALERT,8.8423
3605,ALERT,100.3958
3497,ALERT,116.7903
3427,ALERT,0.7555
3741,ALERT,103.0899
3608,ALERT,7.8545
3606,ALERT,22.4359
3710,ALERT,67.7257
3869,ALERT,52.728
3700,ALERT,2.5283
3544,ALERT,104.4406
3981,ALERT,93.8668
3702,ALERT,42.5162
3825,ALERT,86.831
3937,ALERT,196.7987
3687,ALERT,0.7285
3640,ALERT,13.2455
3492,ALERT,86.7547
3890,ALERT,13.2304
3947,ALERT,19.6834
3654,ALERT,57.8388
3693,ALERT,71.6154
3607,ALERT,41.4794
3482,ALERT,24.4173
3739,ALERT,101.5996
3713,ALERT,97.6712
3450,ALERT,6.4959
3968,ALERT,117.9057
3972,ALERT,152.6082
3841,ALERT,6.0979
3461,ALERT,69.7879
3413,ALERT,109.3714
3939,ALERT,85.3534
3547,ALERT,140.4483
3776,ALERT,118.5602
3853,ALERT,136.7366
3569,ALERT,93.0453
3558,ALERT,154.5129
3672,ALERT,51.8231
3499,ALERT,5.2802
3933,ALERT,67.5708
3865,ALERT,80.8248
3941,ALERT,112.9768
3704,ALERT,58.1663
3595,ALERT,152.4203
3562,ALERT,84.4532
3830,ALERT,79.7787
3974,ALERT,2.2058
3894,ALERT,204.2483
3790,ALERT,103.7883
3724,ALERT,0.4664
3783,ALERT,63.0897
3561,ALERT,140.9534
3474,ALERT,75.5747
3794,ALERT,31.9123
3479,ALERT,162.2087
3999,ALERT,154.8671
3956,ALERT,114.0374
3575,ALERT,50.7385
3899,ALERT,107.312
3538,ALERT,26.8098
3477,ALERT,67.6153
3826,ALERT,144.5325
3763,ALERT,35.0092
3984,ALERT,115.0735
3623,ALERT,166.4251
3764,ALERT,87.4002
3548,ALERT,69.179
3881,ALERT,15.181
3839,ALERT,7.8245
3530,ALERT,77.8094
3975,ALERT,82.2165
3526,ALERT,80.2232
3993,ALERT,4.638
3812,ALERT,52.1715
3471,ALERT,94.2407
3795,ALERT,16.1485
3649,ALERT,14.5269
3983,ALERT,131.7964
3684,ALERT,90.4732
3590,ALERT,120.6377
3574,ALERT,326.2049
3727,ALERT,53.2649
3403,ALERT,3.3454
3410,ALERT,41.9604
3995,ALERT,34.1569
3494,ALERT,134.9421
3438,ALERT,130.1153
3709,ALERT,49.9811
3955,ALERT,125.5411
3948,ALERT,141.4772
3775,ALERT,12.4048
3979,ALERT,124.4181
3752,ALERT,39.2814
3584,ALERT,98.4603
3443,ALERT,132.1931
3765,ALERT,79.2321
3814,ALERT,111.784
3699,ALERT,23.9233
3889,ALERT,0.5268
3495,ALERT,3.3114
3653,ALERT,110.8581
2542,ALERT,0.4446
3736,ALERT,47.4287
3991,ALERT,48.9157
3564,ALERT,82.616
3965,ALERT,42.9046
3430,ALERT,166.6129
3651,ALERT,33.488
3555,ALERT,3.4238
3781,ALERT,102.8989
3658,ALERT,131.2247
2860,ALERT,0.4364
3987,ALERT,185.3038
3437,ALERT,173.3623
3467,ALERT,152.3484
3828,ALERT,20.47
3517,ALERT,53.7653
3509,ALERT,6.8653
3519,ALERT,51.617
